project,Kr_cm3_per_cm3_value,Kr_cm3_per_cm3_error,Xe_cm3_per_cm3_value,Xe_cm3_per_cm3_error,selectivity,PLD,LCD,density_g_cm3
f1_cdt_8_1x1x1,1.966695712,0.018334499,0.886986475,0.015711275,0.451003411,19.97983,21.21934,0.208547
f1_ocu_14_1x1x1,24.36428746,0.195471452,63.67251554,0.422067161,2.613354306,3.65919,12.1593,0.946811
f6_sml_60_1x1x1,5.540266483,0.085028927,4.89744797,0.083346943,0.883973359,11.95964,12.80391,0.740332
f7_pto_132_1x1x1,2.210903182,0.036680934,1.027810473,0.020652219,0.464882624,15.26659,21.23279,0.26354
f5_jxj_62_1x1x1,2.911883564,0.060047091,1.787454364,0.026182661,0.613848159,18.34721,21.5769,0.186209
f7_stp_310_1x1x1,3.455653031,0.056781779,2.449169431,0.035945949,0.708742865,31.46414,32.4282,0.214342
f4_sxa_11_1x1x1,6.358777069,0.100129041,5.127086684,0.02891223,0.806300744,8.82816,11.51984,0.405635
f2_ibd_153_1x1x1,24.85433939,0.256814382,54.86990649,0.631804209,2.207659018,4.03856,6.94663,0.85948
f4_umo_4_1x1x1,4.29208333,0.115958196,4.770553382,0.084972534,1.111477345,26.90746,28.6895,0.315348
f7_pts_53_1x1x1,3.521239716,0.034148479,2.459635825,0.036584863,0.698514167,14.68032,17.28883,0.220171
f7_icd_689_1x1x1,24.29397347,0.776267568,74.74230743,1.081060635,3.076578129,4.95057,8.21407,0.951649
f6_vbs_29_1x1x1,7.029121287,0.070146663,7.637560751,0.172596053,1.086559819,10.5548,13.47978,0.411916
f5_soc_48_1x1x1,14.12655262,0.132529965,23.5210816,0.347680713,1.665026297,8.6882,12.6524,0.488601
f1_eea_44_1x1x1,3.583868013,0.050202199,2.520129926,0.030479138,0.703187148,13.71188,23.38418,0.289954
f1_ofo_8_1x1x1,3.212490212,0.025883103,1.934860109,0.045594182,0.60229292,14.00844,17.73314,0.337838
f7_hwx_121_1x1x1,3.812177929,0.025878642,2.631262882,0.017982916,0.690225622,16.14172,17.93282,0.285033
f1_hea_95_1x1x1,17.73527225,0.21689093,28.00414967,0.441994323,1.579008727,5.88823,9.95345,0.71003
f6_who_41_1x1x1,16.17728493,0.154606836,34.14828168,0.27490068,2.110878422,4.38929,8.88821,1.04786
f3_wie_26_1x1x1,17.22293734,0.181726729,37.3625594,0.481612502,2.169348855,3.85586,6.921,1.22034
f6_msw_18_1x1x1,11.85962689,0.400641458,24.36073163,0.83394244,2.054089211,2.7318,4.35257,1.69492
f6_whs_21_1x1x1,2.91490208,0.018786903,1.813134197,0.034571701,0.622022335,29.15206,30.01244,0.276772
f1_czz_68_1x1x1,8.880410457,0.077468839,10.16987395,0.102333305,1.145203141,7.29492,10.12666,0.506318
f7_sit_60_1x1x1,3.72224219,0.020577575,2.378170095,0.027065087,0.638907941,12.92715,15.26255,0.359404
f1_sqc_53_1x1x1,12.08556384,0.111953543,15.70629927,0.25644853,1.299591767,10.41729,12.35849,0.486613
f6_vmg_55_1x1x1,7.789769744,0.073274562,8.136768719,0.106440813,1.044545473,7.98482,11.0009,0.723833
